xObs,xMean,xMedian,xRMS,xSigma
-99.67999999999984,2.1383751212961013e-05,1.1991381020493233e-09,3.3500166982808314e-09,6.466667441543984e-05
-99.66999999999983,2.2070974237771955e-05,1.2015049759227694e-09,3.3563962570466252e-09,6.674424516702046e-05
-99.65999999999983,2.275934760717223e-05,1.2038765215616374e-09,3.3627879646384026e-09,6.882525453533661e-05
-99.64999999999982,2.3448871321161404e-05,1.2062527481871246e-09,3.369191844191615e-09,7.090970252038482e-05
-99.63999999999982,2.4139545379740345e-05,1.2086336650386133e-09,3.375607918885771e-09,7.299758912216814e-05
-99.62999999999981,2.4831369782907535e-05,1.2110192813737387e-09,3.382036211944522e-09,7.508891434068353e-05
-99.6199999999998,2.5524344530664057e-05,1.2134096064683925e-09,3.3884767466357436e-09,7.718367817593228e-05
-99.6099999999998,2.6218469623009912e-05,1.2158046496167915e-09,3.3949295462716226e-09,7.928188062791396e-05
-99.5999999999998,2.6913745059944667e-05,1.2182044201314814e-09,3.4013946342087393e-09,8.138352169662988e-05
-99.58999999999979,2.7610170841468103e-05,1.2206089273434056e-09,3.407872033848153e-09,8.34886013820783e-05
-99.57999999999979,2.8307746967580873e-05,1.2230181806019126e-09,3.4143617686354858e-09,8.559711968426096e-05
-99.56999999999978,2.9006473438282542e-05,1.2254321892748044e-09,3.4208638620610094e-09,8.770907660317611e-05
-99.55999999999977,2.9706350253573544e-05,1.227850962748386e-09,3.4273783376597272e-09,8.982447213882463e-05
-99.54999999999977,3.0407377413453228e-05,1.2302745104274728e-09,3.4339052190114637e-09,9.194330629120609e-05
-99.53999999999976,3.110955491792246e-05,1.23270284173546e-09,3.4404445297409443e-09,9.406557906032221e-05
-99.52999999999976,3.181288276698038e-05,1.235135966114326e-09,3.446996293517887e-09,9.61912904461704e-05
-99.51999999999975,3.2517360960627626e-05,1.2375738930247028e-09,3.4535605340570813e-09,9.832044044875326e-05
-99.50999999999975,3.3222989498863775e-05,1.240016631945879e-09,3.4601372751184804e-09,0.00010045302906806818
-99.49999999999974,3.392976838168882e-05,1.2424641923758707e-09,3.4667265405072846e-09,0.00010258905630411734
-99.48999999999974,3.463769760910277e-05,1.2449165838314238e-09,3.4733283540740253e-09,0.00010472852215689856
-99.47999999999973,3.5346777181106265e-05,1.247373815848086e-09,3.4799427397146534e-09,0.00010687142662641445
-99.46999999999973,3.605700709769844e-05,1.2498358979802094e-09,3.486569721370629e-09,0.00010901776971266198
-99.45999999999972,3.676838735888017e-05,1.252302839801021e-09,3.493209323029e-09,0.00011116755141564547
-99.44999999999972,3.748091796465058e-05,1.254774650902627e-09,3.499861568722498e-09,0.00011332077173535973
-99.43999999999971,3.819459891500989e-05,1.2572513408960839e-09,3.5065264825296187e-09,0.00011547743067180866
-99.42999999999971,3.890943020995832e-05,1.259732919411401e-09,3.5132040885747116e-09,0.00011763752822498965
